name,tagline,technologies,slots,year
"K-9 Mail","K-9 Mail – Advanced Email for Android","android,java",2,2017
MBDyn,"High fidelity multibody dynamics engine with extended capabilities","c++,python",2,2017
Metasploit,"Open Source framework for exploit development and penetration testing","ruby,c,asm",2,2017
"Mixxx DJ Software","DJ Your Way. For Free.","qt,c++,c++11,midi,hid",2,2017
"Netfilter project","FOSS community-driven project that provides firewalling tools for Linux","linux,kernel,c",2,2017
"Open Detection","Open Detection is a open source project for object detection and recognition.","c++,caffe,pcl,opencv",2,2017
oVirt,"Open virtual datacenter management for all","java, python,kvm",2,2017
P2PSP.org,"Shaping the future Internet TV","c++,python,qt,sockets,webrtc",2,2017
"phpBB Forum Software","phpBB is the most widely used free and open source forum software","php ,mysql,javascript,symfony,css",2,2017
PMD,"An extensible cross-language static code analyzer.","java,javacc,xml,antlr,xpath",2,2017
"Qubes OS","A reasonably secure operating system","c,python,shell,xen,linux",2,2017
"Ruby on Rails","Ruby on Rails make web application development easy and fun.","html,ruby on rails,ruby",2,2017
ScummVM,"ScummVM is a GSoC umbrella for game preservation projects","c++,sdl,opengl,assembly",2,2017
Sigmah,"Java/GWT platform for humanitarian project management","gwt,java,postgresql",2,2017
"The FreeType Project","FreeType font rendering library","fonts,opentype,c,library",2,2017
"The Libreswan Project","Encrypting the internet using IKE and IPsec","c,python, shell script",2,2017
"The MacPorts Project","Open Source package manager for Mac OS.","tcl,make,git",2,2017
TimVideos,"Software & hardware to recording + streaming conferences, meetings & usergroups.","python,verilog,fpga,vhdl,c",2,2017
wxWidgets,"Library for creating portable native GUIs in C++","c++,gtk+,win32,cocoa",2,2017
"Xen Project","Bringing the power of virtualization everywhere","linux,free/netbsd,asm/c/c++,qemu,ocaml",2,2017
"XMPP Standards Foundation","Secure messaging with open standards","xmpp,c++,java,erlang,javascript",2,2017
XWiki,"The Advanced Open Source Enterprise Wiki","java, javascript, html5, css3, velocity",2,2017
Zenodo,"A free and open digital archive for the long-tail of science.","python,postgresql,flask,angularjs,elasticsearch",2,2017
"52°North Initiative for Geospatial Open Source Software GmbH","52°North works on innovative ideas and technologies in geoinformatics.","web services,ogc standards,java,javascript,web",1,2017
"Apertus Association","Open Technology for Professional Film Production","fpga,vhdl,c,linux,c++",1,2017
Cadasta,"Transforming the way land & resource rights are documented, managed and stored.","python,django,javasc,javascipt",1,2017
Conversations.im,"Federated, end-to-end encrypted instant messaging based on XMPP/OMEMO","xmpp,java,android,javafx,python",1,2017
"Elm Software Foundation","A delightful functional language for reliable webapps.","elm,javascript,haskell",1,2017
FOSDEM,"The organization that handles all aspects of the FOSDEM conference","git,ruby on rails,postgresql,html/css",1,2017
Git,"fast, scalable, distributed revision control system","c, shell script, git",1,2017
libvirt,"virtualization abstraction library","kvm,xen,hypervisor",1,2017
LuaRocks,"The package manager for the Lua programming language","lua, lua,luarocks",1,2017
MariaDB,"One of the most popular databases on the web with many notable users","mariadb,mysql,c,c++,java",1,2017
Moodle,"The world's open source learning platform","php,jquery,mysql,postgresql, javascript",1,2017
"Open Data Kit","Open Data Kit is used to collect data for social good in difficult environments.","android,java,python,javascript,ruby",1,2017
"Open States","Opening State Legislatures","python,django,javascript,postgresql",1,2017
"Polly Labs","Promoting Polyhedral Compilation","llvm,integer set library,ppcg,pencil,polly",1,2017
Rspamd,"High-performance spam filtering system","c,lua,cmake",1,2017
Samba,"Opening windows to a wider world.","c,python",1,2017
"The Center for Connected Learning and Computer-Based Modeling","NetLogo: A language and IDE for programming and scientific simulations","javascript,scala,html5",1,2017
"UCSC Xena","Helping biologists see the bigger picture in diverse cancer genomics data","javascript,react,clojure,d3,python",1,2017
ViSP,"Visual tracking and visual servoing library","vision, c++",1,2017
"WorldBrain - Verifying the Internet with Science","Full-text search your history, bookmarks and all your apps.","reactjs, javascript",1,2017
Bazel,"Fast and correct build system for Google scale","java,linux,go",0,2017
Clojure,"Supporting the Clojure and ClojureScript ecosystem","clojure,clojurescript,jvm,javascript,functional programming",0,2017
"Django Software Foundation","The web framework for perfectionists with deadlines.","python,django",0,2017
"GENIVI Development Platform","Open Source Automotive Development Platform","linux,c,yocto,c++,qt",0,2017
illumos.org,"Open Source successor of OpenSolaris","dtrace,illumos,unix,openzfs,zfs",0,2017
"The Wine Project","Wine runs Windows applications on Linux, BSD, Solaris and Mac OS X.","c, opengl, directx, x11, win32",0,2017
